;Kundennummer;Gerätetyp
0;4833;DeviceGen4
1;21100;DeviceGen3
2;11488;DeviceGen2
3;40696;DeviceGen3
4;18074;DeviceGen3
5;27133;DeviceGen3
6;97661;DeviceGen3
7;56577;DeviceGen3
8;63194;DeviceGen2
9;67559;DeviceGen3
10;1611;DeviceGen2
11;64233;DeviceGen4
12;25485;DeviceGen2
13;22877;DeviceGen3
14;59275;DeviceGen2
15;49386;DeviceGen3
16;94333;DeviceGen3
17;15416;DeviceGen3
18;3322;DeviceGen4
19;9069;DeviceGen3
20;25374;DeviceGen2
21;12375;DeviceGen3
22;85898;DeviceGen2
23;29367;DeviceGen3
24;80375;DeviceGen3
25;42180;DeviceGen3
26;49756;DeviceGen3
27;39749;DeviceGen3
28;98887;DeviceGen2
29;48365;DeviceGen3
30;94660;DeviceGen3
31;15097;DeviceGen2
32;69575;DeviceGen2
33;6353;DeviceGen3
34;85674;DeviceGen3
35;85378;DeviceGen3
36;24491;DeviceGen3
37;31031;DeviceGen3
38;12188;DeviceGen3
39;83120;DeviceGen2
40;4110;DeviceGen2
41;80990;DeviceGen3
42;80381;DeviceGen4
43;20195;DeviceGen3
44;74257;DeviceGen3
45;1516;DeviceGen3
46;83876;DeviceGen4
47;31559;DeviceGen2
48;18441;DeviceGen3
49;81224;DeviceGen3
50;20716;DeviceGen3
51;38783;DeviceGen4
52;89457;DeviceGen3
53;6660;DeviceGen3
54;19791;DeviceGen2
55;63100;DeviceGen3
56;90611;DeviceGen2
57;94874;DeviceGen3
58;51735;DeviceGen2
59;3396;DeviceGen2
60;45407;DeviceGen2
61;14954;DeviceGen3
62;40058;DeviceGen3
63;31319;DeviceGen3
64;8615;DeviceGen3
65;80029;DeviceGen3
66;12732;DeviceGen3
67;15390;DeviceGen3
68;57420;DeviceGen3
69;52656;DeviceGen3
70;39918;DeviceGen2
71;85168;DeviceGen3
72;76330;DeviceGen3
73;38585;DeviceGen3
74;3154;DeviceGen3
75;64754;DeviceGen2
76;85049;DeviceGen3
77;43363;DeviceGen2
78;50419;DeviceGen2
79;13604;DeviceGen2
80;1795;DeviceGen2
81;6417;DeviceGen2
82;5345;DeviceGen3
83;54291;DeviceGen3
84;89780;DeviceGen2
85;61183;DeviceGen2
86;97304;DeviceGen3
87;48455;DeviceGen2
88;35726;DeviceGen4
89;79659;DeviceGen2
90;81217;DeviceGen3
91;46321;DeviceGen2
92;73100;DeviceGen4
93;20874;DeviceGen3
94;33951;DeviceGen2
95;94113;DeviceGen2
96;67483;DeviceGen3
97;64428;DeviceGen3
98;94671;DeviceGen3
99;46635;DeviceGen3
100;25824;DeviceGen3
101;82540;DeviceGen3
102;21794;DeviceGen2
103;99682;DeviceGen3
104;35244;DeviceGen2
105;44533;DeviceGen3
106;62160;DeviceGen3
107;33831;DeviceGen3
108;35310;DeviceGen2
109;60568;DeviceGen3
110;35674;DeviceGen3
111;82983;DeviceGen2
112;56941;DeviceGen2
113;63283;DeviceGen4
114;81860;DeviceGen3
115;59131;DeviceGen3
116;29600;DeviceGen2
117;20137;DeviceGen3
118;34618;DeviceGen2
119;63384;DeviceGen2
120;29786;DeviceGen2
121;52576;DeviceGen2
122;78231;DeviceGen3
123;23484;DeviceGen3
124;32912;DeviceGen4
125;22139;DeviceGen3
126;74758;DeviceGen3
127;68068;DeviceGen3
128;12770;DeviceGen3
129;79544;DeviceGen3
130;76540;DeviceGen3
131;19260;DeviceGen3
132;75782;DeviceGen3
133;3842;DeviceGen3
134;54427;DeviceGen3
135;62400;DeviceGen2
136;38056;DeviceGen4
137;97409;DeviceGen3
138;34933;DeviceGen3
139;26062;DeviceGen3
140;69464;DeviceGen3
141;7674;DeviceGen3
142;67012;DeviceGen3
143;44909;DeviceGen2
144;70595;DeviceGen3
145;84490;DeviceGen2
146;39350;DeviceGen2
147;80544;DeviceGen4
148;60560;DeviceGen3
149;97846;DeviceGen3
150;77242;DeviceGen3
151;13410;DeviceGen3
152;70166;DeviceGen3
153;22235;DeviceGen3
154;26969;DeviceGen3
155;84099;DeviceGen2
156;40253;DeviceGen2
157;95913;DeviceGen3
158;44367;DeviceGen3
159;58776;DeviceGen3
160;11164;DeviceGen3
161;98722;DeviceGen2
162;41582;DeviceGen3
163;26928;DeviceGen2
164;92119;DeviceGen3
165;33028;DeviceGen2
166;39084;DeviceGen2
167;26863;DeviceGen3
168;86588;DeviceGen3
169;26817;DeviceGen2
170;16939;DeviceGen2
171;45582;DeviceGen2
172;63525;DeviceGen3
173;53921;DeviceGen3
174;56998;DeviceGen2
175;52048;DeviceGen3
176;54011;DeviceGen2
177;47721;DeviceGen2
178;80335;DeviceGen3
179;3433;DeviceGen3
180;44461;DeviceGen3
181;34227;DeviceGen2
182;72204;DeviceGen3
183;69943;DeviceGen3
184;96881;DeviceGen3
185;6033;DeviceGen2
186;68982;DeviceGen2
187;53912;DeviceGen2
188;19263;DeviceGen3
189;44745;DeviceGen3
190;27867;DeviceGen2
191;81747;DeviceGen4
192;72345;DeviceGen3
193;46814;DeviceGen2
194;82106;DeviceGen3
195;59004;DeviceGen3
196;47798;DeviceGen3
197;47755;DeviceGen2
198;67545;DeviceGen3
199;38294;DeviceGen2
200;54687;DeviceGen2
201;68156;DeviceGen2
202;89859;DeviceGen3
203;68017;DeviceGen2
204;51424;DeviceGen3
205;1487;DeviceGen3
206;20060;DeviceGen2
207;68735;DeviceGen2
208;76681;DeviceGen4
209;16810;DeviceGen3
210;55713;DeviceGen3
211;63278;DeviceGen3
212;8923;DeviceGen3
213;24355;DeviceGen2
214;52510;DeviceGen3
215;45570;DeviceGen3
216;43403;DeviceGen2
217;89074;DeviceGen2
218;40928;DeviceGen3
219;93080;DeviceGen3
220;63641;DeviceGen3
221;63281;DeviceGen3
222;31523;DeviceGen2
223;49319;DeviceGen3
224;90862;DeviceGen2
225;11106;DeviceGen2
226;67880;DeviceGen2
227;45238;DeviceGen2
228;70227;DeviceGen2
229;62497;DeviceGen2
230;98757;DeviceGen2
231;42971;DeviceGen3
232;7811;DeviceGen3
233;66441;DeviceGen2
234;22854;DeviceGen3
235;22234;DeviceGen2
236;28806;DeviceGen3
237;29180;DeviceGen2
238;96574;DeviceGen3
239;32147;DeviceGen3
240;71369;DeviceGen3
241;36773;DeviceGen3
242;59036;DeviceGen2
243;67689;DeviceGen4
244;33119;DeviceGen2
245;9076;DeviceGen2
246;72175;DeviceGen2
247;81015;DeviceGen2
248;62232;DeviceGen2
249;89685;DeviceGen3
250;36764;DeviceGen3
251;50491;DeviceGen3
252;59550;DeviceGen4
253;63553;DeviceGen2
254;45785;DeviceGen2
255;5766;DeviceGen3
256;83693;DeviceGen2
257;55924;DeviceGen3
258;46566;DeviceGen3
259;54542;DeviceGen2
260;19460;DeviceGen3
261;13101;DeviceGen4
262;90238;DeviceGen2
263;57186;DeviceGen2
264;33237;DeviceGen2
265;99601;DeviceGen3
266;53155;DeviceGen3
267;8310;DeviceGen2
268;80432;DeviceGen2
269;65697;DeviceGen4
270;90500;DeviceGen2
271;75563;DeviceGen2
272;1257;DeviceGen2
273;88565;DeviceGen2
274;70488;DeviceGen2
275;21384;DeviceGen3
276;23379;DeviceGen3
277;31130;DeviceGen2
278;80388;DeviceGen3
279;95113;DeviceGen2
280;82127;DeviceGen2
281;67908;DeviceGen4
282;33675;DeviceGen2
283;86311;DeviceGen3
284;74993;DeviceGen3
285;27272;DeviceGen3
286;92190;DeviceGen2
287;7070;DeviceGen2
288;99423;DeviceGen3
289;28718;DeviceGen2
290;15875;DeviceGen3
291;49316;DeviceGen3
292;57955;DeviceGen2
293;51532;DeviceGen2
294;69987;DeviceGen3
295;37093;DeviceGen4
296;74342;DeviceGen3
297;38112;DeviceGen4
298;61831;DeviceGen2
299;64726;DeviceGen3
300;42022;DeviceGen3
301;83547;DeviceGen2
302;58080;DeviceGen3
303;73780;DeviceGen4
304;69641;DeviceGen3
305;73941;DeviceGen3
306;18054;DeviceGen3
307;40430;DeviceGen3
308;58792;DeviceGen2
309;13853;DeviceGen2
310;91070;DeviceGen2
311;52342;DeviceGen3
312;50547;DeviceGen2
313;72823;DeviceGen3
314;86147;DeviceGen3
315;23432;DeviceGen3
316;52134;DeviceGen3
317;17761;DeviceGen3
318;26757;DeviceGen4
319;10370;DeviceGen3
320;60216;DeviceGen3
321;89417;DeviceGen3
322;70994;DeviceGen3
323;69517;DeviceGen2
324;45535;DeviceGen3
325;34315;DeviceGen3
326;13224;DeviceGen3
327;97637;DeviceGen3
328;11126;DeviceGen4
329;66060;DeviceGen2
330;72371;DeviceGen3
331;46350;DeviceGen3
332;66609;DeviceGen2
333;92866;DeviceGen2
334;94093;DeviceGen2
335;92367;DeviceGen2
336;84209;DeviceGen3
337;58091;DeviceGen3
338;47863;DeviceGen3
339;14908;DeviceGen2
340;42430;DeviceGen4
341;80475;DeviceGen3
342;2637;DeviceGen3
343;3915;DeviceGen3
344;78975;DeviceGen3
345;4420;DeviceGen3
346;22400;DeviceGen2
347;64598;DeviceGen3
348;41444;DeviceGen3
349;67499;DeviceGen3
350;51609;DeviceGen4
351;41443;DeviceGen2
352;13024;DeviceGen3
353;74332;DeviceGen3
354;60692;DeviceGen2
355;60697;DeviceGen3
356;62922;DeviceGen3
357;44219;DeviceGen3
358;80917;DeviceGen2
359;49985;DeviceGen3
360;34969;DeviceGen3
361;40965;DeviceGen2
362;24575;DeviceGen3
363;41983;DeviceGen2
364;12327;DeviceGen3
365;74190;DeviceGen3
366;12547;DeviceGen3
367;43723;DeviceGen3
368;83932;DeviceGen4
369;57870;DeviceGen3
370;33175;DeviceGen2
371;84620;DeviceGen3
372;24021;DeviceGen2
373;82059;DeviceGen3
374;75646;DeviceGen3
375;89386;DeviceGen3
376;3926;DeviceGen3
377;42795;DeviceGen2
378;19159;DeviceGen2
379;22966;DeviceGen3
380;25940;DeviceGen4
381;81414;DeviceGen3
382;44575;DeviceGen3
383;26827;DeviceGen3
384;60505;DeviceGen3
385;85222;DeviceGen2
386;90298;DeviceGen3
387;55119;DeviceGen3
388;41790;DeviceGen3
389;81533;DeviceGen3
390;20665;DeviceGen2
391;41384;DeviceGen3
392;62314;DeviceGen3
393;96708;DeviceGen3
394;26924;DeviceGen3
395;22501;DeviceGen2
396;28720;DeviceGen3
397;58857;DeviceGen3
398;50650;DeviceGen4
399;28895;DeviceGen3
400;3900;DeviceGen2
401;86589;DeviceGen2
402;56603;DeviceGen2
403;92710;DeviceGen3
404;23928;DeviceGen3
405;71478;DeviceGen4
406;91823;DeviceGen3
407;85835;DeviceGen4
408;33192;DeviceGen3
409;90720;DeviceGen3
410;8502;DeviceGen3
411;43575;DeviceGen3
412;88536;DeviceGen3
413;10969;DeviceGen2
414;67412;DeviceGen3
415;79674;DeviceGen3
416;94397;DeviceGen3
417;8200;DeviceGen2
418;83553;DeviceGen3
419;12413;DeviceGen3
420;15795;DeviceGen3
421;21058;DeviceGen2
422;93068;DeviceGen3
423;7162;DeviceGen2
424;20909;DeviceGen3
425;92381;DeviceGen3
426;93356;DeviceGen3
427;72648;DeviceGen2
428;80123;DeviceGen3
429;52319;DeviceGen2
430;8759;DeviceGen3
431;63709;DeviceGen3
432;47703;DeviceGen3
433;30512;DeviceGen2
434;69788;DeviceGen3
435;73027;DeviceGen3
436;51114;DeviceGen4
437;73548;DeviceGen3
438;26568;DeviceGen3
439;17058;DeviceGen3
440;6834;DeviceGen2
441;43267;DeviceGen2
442;15971;DeviceGen3
443;72597;DeviceGen2
444;56345;DeviceGen3
445;2319;DeviceGen2
446;70031;DeviceGen3
447;16183;DeviceGen4
448;73393;DeviceGen3
449;84458;DeviceGen2
450;30065;DeviceGen2
451;33816;DeviceGen2
452;88287;DeviceGen3
453;17753;DeviceGen2
454;1485;DeviceGen2
455;66074;DeviceGen3
456;99512;DeviceGen3
457;78803;DeviceGen3
458;61220;DeviceGen3
459;95437;DeviceGen3
460;34061;DeviceGen3
461;83550;DeviceGen3
462;21194;DeviceGen2
463;72732;DeviceGen2
464;30082;DeviceGen3
465;64142;DeviceGen2
466;83412;DeviceGen3
467;90190;DeviceGen3
468;7197;DeviceGen3
469;88974;DeviceGen4
470;2392;DeviceGen3
471;38393;DeviceGen2
472;50045;DeviceGen3
473;71576;DeviceGen3
474;2356;DeviceGen2
475;24586;DeviceGen3
476;45714;DeviceGen2
477;16910;DeviceGen3
478;41596;DeviceGen3
479;47972;DeviceGen2
480;89722;DeviceGen3
481;74167;DeviceGen3
482;95414;DeviceGen3
483;47425;DeviceGen3
484;26031;DeviceGen4
485;52884;DeviceGen2
486;2820;DeviceGen2
487;84944;DeviceGen4
488;3677;DeviceGen3
489;8694;DeviceGen3
490;91293;DeviceGen2
491;22480;DeviceGen2
492;62986;DeviceGen3
493;18772;DeviceGen4
494;22364;DeviceGen2
